ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,POBTOT,POBFEM,POBMAS,VIVTOT,TAMLOC
21,Puebla,1,Acajete,1,Acajete,"97°57'09.774"" W","19°06'17.785"" N",13922,7166,6756,3618,7
21,Puebla,1,Acajete,2,Acultzingo,"97°57'52.156"" W","19°10'24.881"" N",1,*,*,3,1
21,Puebla,1,Acajete,3,La Cardenista (Colonia Lázaro Cárdenas),"97°56'23.861"" W","19°10'04.769"" N",370,201,169,73,2
21,Puebla,1,Acajete,4,La Magdalena Tetela Morelos,"97°56'29.333"" W","19°02'56.815"" N",7613,3968,3645,2259,6
21,Puebla,1,Acajete,5,Cuautenco (La Cañería),"97°57'36.782"" W","19°09'44.940"" N",58,35,23,14,1
21,Puebla,1,Acajete,6,San Agustín Tlaxco,"97°59'35.286"" W","19°03'30.042"" N",6995,3651,3344,1891,6
21,Puebla,1,Acajete,7,San Antonio Tlacamilco,"97°55'54.528"" W","19°03'43.576"" N",2179,1162,1017,565,4
21,Puebla,1,Acajete,8,San Bartolo Pinal,"97°56'06.285"" W","19°09'37.769"" N",530,281,249,132,3
21,Puebla,1,Acajete,9,San Bernardino Citlaltépetl,"97°55'16.291"" W","19°05'19.751"" N",46,24,22,14,1
21,Puebla,1,Acajete,10,San Javier,"97°56'55.243"" W","19°07'29.987"" N",114,54,60,31,1
21,Puebla,1,Acajete,11,San Jerónimo Ocotitlán,"97°57'46.656"" W","19°01'57.864"" N",5560,2919,2641,1524,6
21,Puebla,1,Acajete,13,San Martín la Joya,"97°55'07.292"" W","19°06'17.854"" N",14,8,6,7,1
21,Puebla,1,Acajete,15,Santa Isabel Tepetzala,"97°56'23.521"" W","19°06'43.739"" N",11507,5969,5538,2681,7
21,Puebla,1,Acajete,16,Santa María Nenetzintla,"97°58'00.905"" W","19°03'19.690"" N",4667,2498,2169,1325,5
21,Puebla,1,Acajete,17,San Juan Tepulco,"97°59'17.348"" W","19°07'02.577"" N",10288,5234,5054,2074,7
21,Puebla,1,Acajete,18,Buenavista,"97°54'31.073"" W","19°05'29.638"" N",39,19,20,19,1
21,Puebla,1,Acajete,20,San Carlos,"97°58'49.459"" W","19°01'56.904"" N",9,*,*,1,1
21,Puebla,1,Acajete,21,Nuestra Señora del Monte,"97°58'23.369"" W","19°09'52.924"" N",70,39,31,15,1
21,Puebla,1,Acajete,24,Apango de Zaragoza,"97°56'28.158"" W","19°04'03.851"" N",3032,1532,1500,780,5
21,Puebla,1,Acajete,26,La Providencia,"97°56'04.339"" W","19°08'49.071"" N",207,110,97,65,1
21,Puebla,1,Acajete,33,Tlacamilco,"97°55'21.945"" W","19°04'24.411"" N",3583,1829,1754,946,5
21,Puebla,1,Acajete,35,Cristo Rey,"97°55'29.047"" W","19°07'50.291"" N",133,67,66,45,1
21,Puebla,1,Acajete,36,El Potrero,"97°59'57.112"" W","19°06'51.671"" N",86,46,40,18,1
21,Puebla,1,Acajete,38,San Antonio Conocido,"97°56'30.807"" W","19°07'57.423"" N",54,23,31,5,1
21,Puebla,1,Acajete,40,El Tetelito,"97°57'12.691"" W","19°07'54.719"" N",13,7,6,7,1
21,Puebla,1,Acajete,42,San Juanico,"97°53'38.165"" W","19°05'56.116"" N",4,*,*,1,1
21,Puebla,1,Acajete,43,San José el Tintero,"97°54'39.284"" W","19°09'54.060"" N",151,83,68,40,1
21,Puebla,1,Acajete,44,La Tronquera,"97°56'36.792"" W","19°07'41.417"" N",8,*,*,3,1
21,Puebla,1,Acajete,45,El Callejón,"97°55'33.893"" W","19°07'11.700"" N",87,42,45,38,1
21,Puebla,1,Acajete,46,San Bernardino,"97°55'41.004"" W","19°05'53.970"" N",27,16,11,6,1
